ServoPosition,Degrees
2500,-11.125
2490,-11.187999999999999
2480,-11.187999999999999
2470,-11.187999999999999
2460,-11.187999999999999
2450,-11.187999999999999
2440,-11.187999999999999
2430,-11.187999999999999
2420,-11.187999999999999
2410,-11.187999999999999
2400,-11.187999999999999
2390,-11.187999999999999
2380,-11.187999999999999
2370,-11.187999999999999
2360,-11.187999999999999
2350,-11.187999999999999
2340,-11.187999999999999
2330,-11.187999999999999
2320,-11.125
2310,-11.0
2300,-10.937999999999999
2290,-10.562999999999999
2280,-10.25
2270,-9.937999999999999
2260,-9.75
2250,-9.375
2240,-9.062999999999999
2230,-8.75
2220,-8.437999999999999
2210,-8.187999999999999
2200,-7.813
2190,-7.438
2180,-7.125
2170,-6.813
2160,-6.563
2150,-6.2509999999999994
2140,-6.0009999999999994
2130,-5.5009999999999994
2120,-5.188
2110,-4.8759999999999994
2100,-4.688
2090,-4.313
2080,-3.9379999999999997
2070,-3.5
2060,-3.1879999999999997
2050,-2.9379999999999997
2040,-2.5629999999999997
2030,-2.125
2020,-1.875
2010,-1.5
2000,-1.25
1990,-0.9379999999999997
1980,-0.5629999999999997
1970,-0.25
1960,0.18700000000000028
1950,0.4370000000000003
1940,0.7489999999999997
1930,1.1870000000000003
1920,1.5620000000000003
1910,1.8120000000000003
1900,2.1870000000000003
1890,2.4989999999999997
1880,2.7489999999999997
1870,3.1239999999999997
1860,3.3739999999999997
1850,3.6870000000000003
1840,3.9370000000000003
1830,4.187
1820,4.562
1810,4.937
1800,5.187
1790,5.562
1780,5.874
1770,6.187
1760,6.624
1750,6.874
1740,7.124
1730,7.437
1720,7.687
1710,7.999
1700,8.062000000000001
1690,8.062000000000001
1680,8.062000000000001
1670,8.062000000000001
1660,8.062000000000001
1650,8.062000000000001
1640,8.062000000000001
1630,8.062000000000001
1620,8.062000000000001
1610,8.062000000000001
1600,8.062000000000001
