ServoPosition,Degrees
2390,10.812
2380,10.812
2370,10.812
2360,10.812
2350,10.812
2340,10.75
2330,10.687
2320,10.5
2310,10.375
2300,10.062
2290,9.812
2280,9.375
2270,9.062
2260,8.875
2250,8.5
2240,8.375
2230,7.875
2220,7.5
2210,7.311999999999999
2200,6.875
2190,6.5
2180,6.125
2170,5.938
2160,5.625
2150,5.375
2140,5.063
2130,4.688
2120,4.5
2110,4.125
2100,3.9379999999999997
2090,3.5
2080,3.0629999999999997
2070,2.6879999999999997
2060,2.375
2050,2.062
2040,1.625
2030,1.3119999999999998
2020,1.0
2010,0.625
2000,0.43699999999999983
1990,0.18700000000000006
1980,-0.25
1970,-0.563
1960,-0.875
1950,-1.187
1940,-1.562
1930,-1.75
1920,-2.063
1910,-2.4379999999999997
1900,-2.8120000000000003
1890,-3.125
1880,-3.5
1870,-3.875
1860,-4.25
1850,-4.5
1840,-4.686999999999999
1830,-5.0
1820,-5.311999999999999
1810,-5.688
1800,-5.938
1790,-6.125
1780,-6.438
1770,-6.563
1760,-6.938
1750,-7.438
1740,-7.688
1730,-8.062999999999999
1720,-8.437999999999999
1710,-8.625
